dataset,budget,method,count,mean_ndcg@10,std_ndcg@10,mean_mrr@10,std_mrr@10,mean_recall@100,std_recall@100,mean_latency_query_ms,mean_dense_weight,mean_ndcg_delta_vs_average_single,mean_mrr_delta_vs_average_single,mean_ndcg_regret_vs_best_single,mean_worst_case_regret_reduction,method_label
scifact,50,zscore_fusion,7,0.7130601215967326,0.014773871218747296,0.6799215070643642,0.017489636003470126,0.9366300366300366,0.0103536295886604,21.462528736689517,,0.05653128681318848,0.059132216989359825,-0.04382797168654221,3.123201800547652,Z-score fusion
scifact,100,bm25,7,0.6692321499101904,0.012989413730669277,0.6375216582359439,0.014981724944026607,0.8843467643467644,0.011696545916715565,5.8914951966774725,,0.012703315126646273,0.01673236816093961,0.0,1.0,BM25
scifact,100,dense,7,0.6438255196568979,0.0159323671461442,0.6040569219140648,0.016511315492096494,0.9238095238095239,0.011148617078059595,15.571033540012044,,-0.012703315126646242,-0.01673236816093956,0.025406630253292515,0.0,Dense
scifact,100,minmax_fusion,7,0.7056742269973676,0.014433861811115995,0.6757003314146172,0.016855788794016544,0.9413919413919414,0.009412802867989319,21.462528736689517,,0.04914539221382329,0.054911041339612776,-0.03644207708717701,2.787451189314513,Min-max fusion
scifact,100,rrf,7,0.6885308166478284,0.01480924837776899,0.6488865631722776,0.01680659271730632,0.9531135531135532,0.007932750120039465,21.462528736689517,,0.032001981864284205,0.028097273097273105,-0.019298666737637932,1.971000468424231,RRF
scifact,100,validation_weighted_fusion,7,0.7089032892164381,0.010699719407493894,0.6745084016512589,0.013047564041949889,0.9352380952380953,0.018286718062052097,21.462528736689517,0.6571428571428573,0.052374454432893965,0.05371911157625447,-0.039671139306247695,2.9024558696885654,Validation-weighted fusion
scifact,100,zscore_fusion,7,0.7096186080314156,0.013421065401605314,0.6784385720100007,0.015956454231515996,0.9538461538461539,0.007972118848793874,21.462528736689517,,0.05308977324787144,0.05764928193499625,-0.04038645812122516,2.9301401644770313,Z-score fusion
scifact,200,bm25,7,0.6692321499101904,0.012989413730669277,0.6375216582359439,0.014981724944026607,0.8843467643467644,0.011696545916715565,5.8914951966774725,,0.012703315126646273,0.01673236816093961,0.0,1.0,BM25
scifact,200,dense,7,0.6438255196568979,0.0159323671461442,0.6040569219140648,0.016511315492096494,0.9238095238095239,0.011148617078059595,15.571033540012044,,-0.012703315126646242,-0.01673236816093956,0.025406630253292515,0.0,Dense
scifact,200,minmax_fusion,7,0.7100509004711782,0.014854990793147095,0.6781382638525495,0.016970295539068737,0.9479853479853481,0.004370092837160812,21.462528736689517,,0.05352206568763397,0.057348973777545185,-0.0408187505609877,3.015056384028658,Min-max fusion
scifact,200,rrf,7,0.6913263584299176,0.01493406088049234,0.6501875109017966,0.016892436892791213,0.9597069597069597,0.0038359653412465312,21.462528736689517,,0.034797523646373375,0.029398220826792252,-0.0220942085197271,2.1201772542013773,RRF
scifact,200,validation_weighted_fusion,7,0.713911469683382,0.012832657406782595,0.6775170068027211,0.013858209784473802,0.9494505494505495,0.008722257069443684,21.462528736689517,0.6285714285714287,0.05738263489983771,0.056727716727716766,-0.044679319773191443,3.1593634868787754,Validation-weighted fusion
scifact,200,zscore_fusion,7,0.7145373522205084,0.013384722365755945,0.6809878481307052,0.01610275044176015,0.9531135531135532,0.006052275326688083,21.462528736689517,,0.058008517436964176,0.06019855805570092,-0.045305202310317906,3.164774663689486,Z-score fusion
